StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2007-11-08 14:00:58;2007-11-08 14:01:25;2007-11-08 14:01:25;00:00:01;00:00:27;0.99108;0.913709;1;25;0;0;0.99108;2.66803;0.99108;2.66803;0;0;1;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;24;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:26;2007-11-08 14:01:26;00:00:01;00:00:28;0.99108;0.916429;1;26;0;0;4.9554;2.74929;4.9554;2.74929;0;0;0;0;0;2;26;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;26;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:27;2007-11-08 14:01:27;00:00:01;00:00:29;0.99108;0.918961;1;27;0;0;0.99108;2.68881;0.99108;2.68881;0;0;1;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;26;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:28;2007-11-08 14:01:28;00:00:01;00:00:30;0.99108;0.921325;1;28;0;0;4.9554;2.76398;4.9554;2.76398;0;0;0;0;0;2;28;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;28;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:29;2007-11-08 14:01:29;00:00:01;00:00:31;0.99108;0.923537;1;29;0;0;0.99108;2.70692;0.99108;2.70692;0;0;1;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;28;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:30;2007-11-08 14:01:30;00:00:01;00:00:32;0.99108;0.925612;1;30;0;0;4.9554;2.77683;4.9554;2.77683;0;0;0;0;0;2;30;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;30;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:31;2007-11-08 14:01:31;00:00:01;00:00:33;0.99108;0.927561;1;31;0;0;0.99108;2.72284;0.99108;2.72284;0;0;1;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;30;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:32;2007-11-08 14:01:32;00:00:01;00:00:34;0.99108;0.929395;1;32;0;0;4.9554;2.78819;4.9554;2.78819;0;0;0;0;0;2;32;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;32;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:33;2007-11-08 14:01:33;00:00:01;00:00:35;0.99108;0.931125;1;33;0;0;0.99108;2.73694;0.99108;2.73694;0;0;1;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;32;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:34;2007-11-08 14:01:34;00:00:01;00:00:36;0.99108;0.932759;1;34;0;0;4.9554;2.79828;4.9554;2.79828;0;0;0;0;0;2;34;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;34;0;0;0;0;0;0;
